"","text","screen_name","user_id","created_at","favourite_count","retweet_count","location","followers_count","friends_count","account_lang"
"1366","@the_hindu UK is a Rogue country which survive on other countries. The fit for nothing  Country looted the entire w… https://t.co/LOgbW1kBDm","avraman1",1369484554092699648,"2021-03-10 03:05:36",0,0,"Kottivakkam,chennai,India",117,433,NA
"1367","@ScottDistrict42 @ABC The pro life party sure seems to have a death fetish. Seems 550,000 is child's play.","ronnywalters123",1369484552532590592,"2021-03-10 03:05:35",0,0,"Planet Earth",75,72,NA
"1368","@TOAdamVaughan @CPC_HQ Your party  giving them all Cerb created a problem...free drug money for addicts...","Bill5250",1369484547658747904,"2021-03-10 03:05:34",0,0,"Long Sault",1965,2164,NA
"1369","okay but the halloween party on young and beautiful was def one of the best parts.","chmpgnesy",1369484547507822592,"2021-03-10 03:05:34",0,0,"she¡her • married to drea",179,136,NA
"1370","@PauleyTeeks @laurenboebert Brush up on your history, the KKK always was and is part of the democrat party.  To thi… https://t.co/PEgb3bZido","America26708000",1369484544693395456,"2021-03-10 03:05:33",0,0,"United States",321,434,NA
"1371","This is the most beautiful thing to wake up to...I thank my Party President Sonia Gandhi ji, @priyankagandhi ji… https://t.co/J6KKJfFBkv","sadafjafar",1369484544168972288,"2021-03-10 03:05:33",29,6,"Lucknow, India",19244,3914,NA
"1372","RT @MiriamMLex: China is in breach of each and every act prohibited in Article 2 of the Genocide Convention! 
How long can we continue to s…","Noir_Fair",1369484540473790464,"2021-03-10 03:05:32",0,385,"Hong Kong",278,608,NA
"1373","the party of the working class. mike crapo. https://t.co/L5j7NMw0nt","andyvolosky",1369484537990950912,"2021-03-10 03:05:32",0,0,"412/718",830,440,NA
"1374","going to a party during a polaroid smh","sapnaphugs",1369484533909778432,"2021-03-10 03:05:31",1,0,"she/her 🇵🇭",3158,3351,NA
"1375","RT @margaritareyes: Last year, this is how I felt about #AB5 &amp; the reason I left the Dem party. Listen to US. We have been kept out of the…","Serious_Law_Guy",1.369484533008e+18,"2021-03-10 03:05:31",0,5,"Los Angeles, CA ",1186,2267,NA
"1376","𝘚𝘶𝘱𝘦𝘳 𝘑𝘶𝘯𝘪𝘰𝘳 𝘛𝘩𝘦 𝘙𝘦𝘯𝘢𝘪𝘴𝘴𝘢𝘯𝘤𝘦
Invitation Ryeosomniac and ELF to the Super Junior's House Party 💙
March 16 2021...  🦒… https://t.co/OsskuKqv4Y","CaRoPiCol",1369484531338772480,"2021-03-10 03:05:30",1,0,"",411,668,NA
"1377","@marlonWill14 @Jhevvvv what i meant was it’s completely possible that she tried to talk rationally, argue, counseli… https://t.co/AnykRNdjm9","_meganjaay_",1369484530822881280,"2021-03-10 03:05:30",0,0,"🇯🇲",1615,891,NA
"1378","Complete the lyrics:

“Tonight _____”

a.) I’ve fallen and I can’t get up
b.) We are yooooung
c.) I’m getting over… https://t.co/ig5DQn2nIq","lilacdapotato",1369484530164277248,"2021-03-10 03:05:30",0,0,"Strange Planet by Nathan Pyle",66,350,NA
"1379","RT @WoobieTuesday: If you ever advocated for a democratic socialist takeover of the Dem Party, the new NV Dems is an excellent test case.…","BernieUpstateNY",1369484529291956224,"2021-03-10 03:05:30",0,7,"NY",7237,5219,NA
"1380","RT @heirmeg: if i don’t get a surprise party i’m changing my number","megaggin",1369484528985726976,"2021-03-10 03:05:30",0,37,"",258,357,NA
"1381","It's Oliver's #GoldenBirthday so naturally we had to celebrate with a ""cake.""  Party hats encouraged too. 

Happy 9… https://t.co/j5md8EXS7u","anamiqbal87",1369484526494289920,"2021-03-10 03:05:29",0,0,"Texas",157,657,NA
"1382","bruh I can’t wait for my bachelor party","jonesbradley6",1369484525483491328,"2021-03-10 03:05:29",2,0,"",834,919,NA
"1383","RT @RossMartin_IC: Roy Williams on #UNC freshman Kerwin Walton's practice focus: ""When he's goes out on the court he goes to a goal by hims…","TH4Life90",1369484524770521088,"2021-03-10 03:05:29",0,19,"North Carolina, USA",1016,3336,NA
"1384","@MichaylaSavitt Dance Party Favorites","Haley_Bran",1369484524200075264,"2021-03-10 03:05:29",0,0,"",222,950,NA
"1385","RT @ScotNational: Hollie Cameron was deselected for her views on indyref2

https://t.co/RGzH89QA7T","Benlinebandit",1369484519955456000,"2021-03-10 03:05:28",0,17,"Barcelona, Spain",724,1210,NA
"1386","@jplockwood27 From different party? Maybe Manchin and Capito","krezchez",1369484518231445504,"2021-03-10 03:05:27",0,0,"Bruh",3,97,NA
"1387","RT @DylanLineger: Indeed. These are nice baby steps. Advocacy has pushed a government to act. Now it is on us all to ask ALL parties: ""What…","TrivialPunk",1369484518210502656,"2021-03-10 03:05:27",0,2,"Silent Hill",465,1334,NA
"1388","RT @pauljac3_: i at the same downtown what what party like we is in the hood back then","sheiIae",1369484517203918848,"2021-03-10 03:05:27",0,1,"Hey",764,31,NA
"1389","Sequins Long Sleeved Blazers Fashion for Women Shiny Party Blazer 
➤ $ 23. 
➤ [https://t.co/4xGUYeDiP4] https://t.co/oFnFpKo1ro","RegularshareNet",1369484516478185472,"2021-03-10 03:05:27",0,0,"Nigeria",19632,276,NA
"1390","@JudithCollinsMP @Coltheman1 Shocking. If Carmel were to switch sides now, how high up the National party list would she be placed? Top 500?","GraemeNZ01",1369484516037861376,"2021-03-10 03:05:27",1,0,"",204,10,NA
"1391","@WeSideLive In terms of specs and 3rd party games then yes og xbox is better than ps2, but in terms of exclusives,… https://t.co/I4bKx0sJkE","kemo10093",1369484512791568384,"2021-03-10 03:05:26",0,0,"",7,106,NA
"1392","@candyhorns_ poor michael, he’s in the bathroom at a party :/","honkcamry",1369484510056779776,"2021-03-10 03:05:25",0,0,"she/her",250,410,NA
"1393","@shillman1 @stefanthinks In Chattanooga there is this old place called Bea’s that had the BEST fried chicken I’ve e… https://t.co/twcAdCwbl9","RUducknKittnMe",1369484505854193664,"2021-03-10 03:05:24",0,0,"Southern Yankee, CA",291,975,NA
"1394","Official from deposed #Myanmar leader Aung San Suu Kyi’s National League for Democracy died in custody after he was… https://t.co/fQqtGWCokW","Otpor17",1369484505535422464,"2021-03-10 03:05:24",0,0,"",5257,1988,NA
"1395","@KathSwinbourne ""presumption"" does not equal ""fact"" of innocence. #MorrisonRapeCrisis - self-made due to choosing n… https://t.co/p1u0enhrcY","suemulhall",1369484504503517184,"2021-03-10 03:05:24",0,0,"Singapore",138,575,NA
"1396","@Dilongarrett1 @MazeNinja A dance party 😎","ZingyAnteater",1369484504054837248,"2021-03-10 03:05:24",2,0,"",2085,2006,NA
"1397","RT @1MikeMorris: The G&amp;M very worried O'Toole won't be able to beat PM Trudeau:  O’Toole’s in a fight to keep control of a party bent on fi…","PoliticalCupid",1369484501068382208,"2021-03-10 03:05:23",0,45,"Floating around somewhere ",1845,2149,NA
"1398","@MagaCopium @FlintlockAvery @SpiralStaircas6 @Disney 1 Yes. the movie sucks balls by itself... even my GF ( a normi… https://t.co/f4gYOQ4Eox","frankrafael1",1369484501064224768,"2021-03-10 03:05:23",1,0,"Mexico",244,589,NA
"1399","RT @WalkerBragman: Nevada's Democratic Party belongs to the socialists now.","MarkHalleyPhD",1369484498480607232,"2021-03-10 03:05:22",0,987,"Jacksonville, FL",1356,1766,NA
"1400","I can’t fully agree but DC lit 🔥 during the spring/ summer especially them day party https://t.co/9gnm5PRZkd","Innocent27_RDC",1369484498430230528,"2021-03-10 03:05:22",0,0,"DMV",3018,4559,NA
"1401","RT @asica_h: Skadi's birthday party! 🎁🎊🎉🎉🎉
#明日方舟 #Arknights #アークナイツ #명일방주 https://t.co/hAlYBQy2XK","astarte120905",1369484496102322176,"2021-03-10 03:05:22",0,2053,"東北",167,295,NA
"1402","RT @daddywrynn: @JMarnocha here u go, ren in a party hat like promised https://t.co/vOv9TT9l8j","Mythor_of_Elune",1369484493002862592,"2021-03-10 03:05:21",0,6,"SistersofElune",166,322,NA
